(0.01,0.99,0.8125)
(0.02,0.98,0.7906976744186046)
(0.03,0.97,0.7808219178082192)
(0.04,0.96,0.785)
(0.05,0.95,0.8026315789473685)
(0.06,0.94,0.7622950819672131)
(0.07,0.9299999999999999,0.7774480712166172)
(0.08,0.92,0.8067226890756303)
(0.09,0.91,0.8324873096446701)
(0.1,0.9,0.7878787878787878)
(0.11,0.89,0.7753036437246964)
(0.12,0.88,0.8045977011494253)
(0.13,0.87,0.7835570469798657)
(0.14,0.86,0.7858267716535433)
(0.15,0.85,0.7909774436090226)
(0.16,0.84,0.8071135430916553)
(0.17,0.83,0.8079470198675497)
(0.18,0.8200000000000001,0.7763157894736842)
(0.19,0.81,0.8019693654266958)
(0.2,0.8,0.8217142857142857)
(0.21,0.79,0.7682403433476395)
(0.22,0.78,0.7938553022794846)
(0.23,0.77,0.8092224231464737)
(0.24,0.76,0.8034351145038168)
(0.25,0.75,0.7970890410958904)
(0.26,0.74,0.8003273322422259)
(0.27,0.73,0.7835463258785943)
(0.28,0.72,0.7830769230769231)
(0.29,0.71,0.7791225416036308)
(0.3,0.7,0.7970401691331924)
(0.31,0.69,0.8103448275862069)
(0.32,0.6799999999999999,0.7940176750509857)
(0.33,0.6699999999999999,0.793285055957867)
(0.34,0.6599999999999999,0.7934918648310388)
(0.35000000000000003,0.6499999999999999,0.7757875231624459)
(0.36,0.64,0.8225317989097517)
(0.37,0.63,0.7743283582089552)
(0.38,0.62,0.7899109792284866)
(0.39,0.61,0.7962858750703433)
(0.4,0.6,0.7848518111964874)
(0.41000000000000003,0.59,0.8014822657490736)
(0.42,0.5800000000000001,0.8039112050739958)
(0.43,0.5700000000000001,0.7840851495184997)
(0.44,0.56,0.8030753968253969)
(0.45,0.55,0.793400286944046)
(0.46,0.54,0.8046511627906977)
(0.47000000000000003,0.53,0.7914139057396173)
(0.48,0.52,0.7872242647058824)
(0.49,0.51,0.8004347826086956)
(0.5,0.5,0.7924362357080035)
(0.51,0.49,0.7667934093789607)
(0.52,0.48,0.7876254180602007)
(0.53,0.47,0.805532617671346)
(0.54,0.45999999999999996,0.7843137254901961)
(0.55,0.44999999999999996,0.7869822485207101)
(0.56,0.43999999999999995,0.7985305491105955)
(0.5700000000000001,0.42999999999999994,0.7966101694915254)
(0.58,0.42000000000000004,0.8029465930018416)
(0.59,0.41000000000000003,0.8162142333088774)
(0.6,0.4,0.7667027807872878)
(0.61,0.39,0.7709377236936292)
(0.62,0.38,0.8149305555555556)
(0.63,0.37,0.7893454038997214)
(0.64,0.36,0.7806496681802305)
(0.65,0.35,0.7963636363636364)
(0.66,0.33999999999999997,0.7976307996051333)
(0.67,0.32999999999999996,0.7693811074918567)
(0.68,0.31999999999999995,0.7824118978338183)
(0.6900000000000001,0.30999999999999994,0.7961863082213192)
(0.7000000000000001,0.29999999999999993,0.785603954278653)
(0.71,0.29000000000000004,0.754601226993865)
(0.72,0.28,0.8572724523737526)
(0.73,0.27,0.8034921574430305)
(0.74,0.26,0.7716031422752401)
(0.75,0.25,0.7990708478513356)
(0.76,0.24,0.7809684684684685)
(0.77,0.22999999999999998,0.8152327221438646)
(0.78,0.21999999999999997,0.7661870503597122)
(0.79,0.20999999999999996,0.7776548672566371)
(0.8,0.19999999999999996,0.8014746040415074)
(0.81,0.18999999999999995,0.785483870967742)
(0.8200000000000001,0.17999999999999994,0.7806740389678778)
(0.8300000000000001,0.16999999999999993,0.7938413361169102)
(0.84,0.16000000000000003,0.7786438035853468)
(0.85,0.15000000000000002,0.8219989696032973)
(0.86,0.14,0.8643509127789046)
(0.87,0.13,0.8199900546991546)
(0.88,0.12,0.8102081268582755)
(0.89,0.10999999999999999,0.8213502315378991)
(0.9,0.09999999999999998,0.7394654466650614)
(0.91,0.08999999999999997,0.8003335715987611)
(0.92,0.07999999999999996,0.7968603561387066)
(0.93,0.06999999999999995,0.7321678321678322)
(0.9400000000000001,0.05999999999999994,0.8244026907909998)
(0.9500000000000001,0.04999999999999993,0.7608895002292526)
(0.96,0.040000000000000036,0.7491455912508544)
(0.97,0.030000000000000027,0.8021066786194532)
(0.98,0.020000000000000018,0.8017317939609236)
(0.99,0.010000000000000009,0.7651448639157156)
